ZFIN:ZDB-GENE-040625-2	cyp51
ZFIN:ZDB-GENE-041001-185	mboat2b
ZFIN:ZDB-GENE-041001-182	acot20
ZFIN:ZDB-GENE-041001-181	acot21
ZFIN:ZDB-GENE-051113-140	bscl2
ZFIN:ZDB-GENE-051113-128	mtm1
ZFIN:ZDB-GENE-050309-66	pnpla7b
ZFIN:ZDB-GENE-070619-3	faah
ZFIN:ZDB-GENE-070619-2	daglb
ZFIN:ZDB-GENE-070619-1	dagla
ZFIN:ZDB-GENE-060503-592	neu1
ZFIN:ZDB-GENE-040624-3	crabp1b
ZFIN:ZDB-GENE-030131-5675	si:ch211-210g13.5
ZFIN:ZDB-GENE-030131-5673	hsd3b7
ZFIN:ZDB-GENE-030131-5628	hsd17b12a
ZFIN:ZDB-GENE-090312-117	si:rp71-17i16.5
ZFIN:ZDB-GENE-140106-8	zmp:0000001048
ZFIN:ZDB-GENE-091118-47	lipib
ZFIN:ZDB-GENE-091118-37	plppr4b
ZFIN:ZDB-GENE-070103-6	cyp21a2
ZFIN:ZDB-GENE-040426-2248	pla2g7
ZFIN:ZDB-GENE-040426-2236	dhdds
ZFIN:ZDB-GENE-040426-2381	acot17
ZFIN:ZDB-GENE-061110-61	ocrl
ZFIN:ZDB-GENE-040426-2207	agmo
ZFIN:ZDB-GENE-040426-2200	ptges3a
ZFIN:ZDB-GENE-061110-16	crppa
ZFIN:ZDB-GENE-061110-10	cel.2
ZFIN:ZDB-GENE-030131-2168	apoc2
ZFIN:ZDB-GENE-131121-587	gpaa1
ZFIN:ZDB-GENE-131121-525	nkl.1
ZFIN:ZDB-GENE-041212-81	ch25h
ZFIN:ZDB-GENE-041212-80	ptgr1
ZFIN:ZDB-GENE-041212-73	dhcr24
ZFIN:ZDB-GENE-041212-70	ephx2
ZFIN:ZDB-GENE-041212-67	zgc:101540
ZFIN:ZDB-GENE-081022-106	lratb.2
ZFIN:ZDB-GENE-041212-19	tm7sf2
ZFIN:ZDB-GENE-140106-38	si:ch73-55i23.1
ZFIN:ZDB-GENE-040426-2115	galcb
ZFIN:ZDB-GENE-070112-990	pi4k2b
ZFIN:ZDB-GENE-091204-253	gdpd5a
ZFIN:ZDB-GENE-091204-217	plcxd2
ZFIN:ZDB-GENE-091204-213	si:ch211-71n6.4
ZFIN:ZDB-GENE-030131-2046	tlcd3ba
ZFIN:ZDB-GENE-131121-408	pla2g4f.1
ZFIN:ZDB-GENE-040426-2079	pla2g6
UniProtKB:A0A2R8Q2K8	plppr3b
ZFIN:ZDB-GENE-040426-2058	hacl1
ZFIN:ZDB-GENE-040426-2581	ehhadh
ZFIN:ZDB-GENE-170216-1	pgs1
ZFIN:ZDB-GENE-030912-9	dhcr7
ZFIN:ZDB-GENE-091204-155	acer3
ZFIN:ZDB-GENE-041010-9	cpt1b
ZFIN:ZDB-GENE-091204-124	oma1
ZFIN:ZDB-GENE-040426-2556	prxl2b
ZFIN:ZDB-GENE-040426-2536	cdipt
ZFIN:ZDB-GENE-040426-2532	pik3cg
ZFIN:ZDB-GENE-040426-2528	socs3b
ZFIN:ZDB-GENE-040426-2519	crls1
ZFIN:ZDB-GENE-030804-11	lbr
ZFIN:ZDB-GENE-070209-116	plbd2
ZFIN:ZDB-GENE-030131-9180	synj1
UniProtKB:A0A2R8Q6P7	A0A2R8Q6P7
ZFIN:ZDB-GENE-080225-27	itpkcb
ZFIN:ZDB-GENE-021206-13	npc2.1
ZFIN:ZDB-GENE-090505-4	erlin2
ZFIN:ZDB-GENE-120426-4	plcl2
ZFIN:ZDB-GENE-030131-9093	dpm2
ZFIN:ZDB-GENE-030131-9081	b4galnt2.1
ZFIN:ZDB-GENE-070117-1	pla2g1b
ZFIN:ZDB-GENE-030131-2333	hexb
ZFIN:ZDB-GENE-030616-47	ptenb
UniProtKB:A0A2R8RZX6	A0A2R8RZX6
UniProtKB:A0A2R8Q644	fasn
ZFIN:ZDB-GENE-100921-71	lipeb
ZFIN:ZDB-GENE-100921-70	si:ch73-216m24.3
ZFIN:ZDB-GENE-040426-2279	gdpd3a
ZFIN:ZDB-GENE-041112-1	asah2
ZFIN:ZDB-GENE-091204-465	mtmr3
ZFIN:ZDB-GENE-031118-14	agps
UniProtKB:A0A2R8QJ77	b4galnt1b
UniProtKB:A0A2R8QIX9	A0A2R8QIX9
ZFIN:ZDB-GENE-070116-1	ptgis
ZFIN:ZDB-GENE-030828-2	hsd3b2
ZFIN:ZDB-GENE-070410-120	mlycd
ZFIN:ZDB-GENE-050809-23	inpp5e
UniProtKB:A0A286YA46	LOC100534777
ZFIN:ZDB-GENE-170413-2	hacd1
ZFIN:ZDB-GENE-030131-3776	ptena
